Lifestyle,,,,,,,,Class,Subclass
"Giving your father the ultimatum that he can come to things if he agrees to leave his wife behind is not a kind thing to do to him. Imagine how you would feel it your dad were to tell you that he never cared for your spouse, and from now on he doesn't want him along when he invites you over. Would you *really* leave your spouse behind in those circumstances? Your dad married this woman, he owes her the loyalty that that entails, and is absolutely right to refuse to have you treat her this way.",,,,,,,,O,A
"Thank God for this. I though I was the only one here able to see that a man who is divorced has every right to move on with a new partner, who shouldn't have to jump through hoops to be accepted in that role. Sheesh, if some of the people here treated their children's partners whom they don't like in the way that's been advocated here as something the OP shold expect and put up with....",,,,,,,,O,J
Your dad is showing that sort of loyalty a husband should to his wife. it is a shame he chose a not-very-nice person as his wife. But he would be a terrible husband if he let someone - anyone! - expect him to accept invitations that excluded his wife.,,,,,,,,O,J
"I honour my stepchildren's desire to see their dad without me in tow, graciously and gratefully. I know the stepmother scenario well. \nThe OP here hints at an ongoing campaign of troublemaking by the daughters, which is a different thing. I wish she had chosen a different scenario as her example, since the birthday bash one has become the focus, rather than the wider, ongoing problem.",,,,,,,,O,A
"For me, the mention of the Facebook photo is what made me think she was being a bit mischievous. I completely understand why she would want just her parents there. However, assuming that this is not the first time the OP has been excluded/not invited, she will have known that to then put it on FB would have been irksome. But then again, on the other hand, why shouldn't she be allowed to put a photo of her mother on? It sounds all very messy, and I don't think the OP is going to get the happy ending she seeks.",,,,,,,,O,J
"yes, I completely agree. The fault for his lying, and the feeling that he must lie about something as reasonable as going for his daughter's birthday meal, does not lie solely with him IMO",,,,,,,,O,J
"It's a can of worms and always will be in many families, apparently.In my family - everyone is divorced at least once - we have enough of it. In our opinion you don't invite anyone without his/her partner, it's an insult to both.Everyone is invited, including partners, married or not, and anyone who doesn't feel comfortable with it can stay home.",,,,,,,,O,J
"If the other thing happens too. The OP is not complaining about the birthday as much as providing it as an example of the daughters excluding her. So it is not just 'some occasions' but, by implication, every occasion.",,,,,,,,O,R
"My ex had been divorced for years when we met, his children were welcoming and kind, his first wife was also very nice, but there were some occasions when they wanted to be together as the original family, without me. It didn't bother me, I didn't feel 'excluded', they were just having family time. Why not?",,,,,,,,O,S
"To the OP: I am absolutely appalled at the vitriol being thrown at you for simply expecting what most of us take for granted.\nFor a sympathetic, supportive - and, above all, informed - opinion on how to handle your situation visit this site:\nhttp://www.stepsforstepmothers.com/pboard2.html\nAnd good luck - you are not wrong to want more respect from your man.",,,,,,,,O,A
"I agree. The more fuss she makes, the less likely there's going to be a happy ending. She needs to accept that some people don't get on with her, and move on.",,,,,,,,O,J
There is a new era happening in familial relationships. The stereotype of the wicked step- mother is very strong among those who had fairy tales read to them. I am not so sure that the reality is not that there are very wicked step sisters in the mix. I married a widower whose wife died more than 5 years before I met him. His daughters told him that he had had a 28 year marriage and 3 kids (one deceased) and why could he not just be satisfied (they were still living at home fully supported at 28 and 22) ?\nThey refused to even meet me. They refused to attend the wedding. They demanded his entire estate while he is still alive. WOW. After almost 3 years of marriage they still refuse to even meet me. Their mother was east Indian and I am not. Their east Indian family encourages them in this stance. I cannot see it changing but the brutality to their aging father is shocking.,,,,,,,,O,R
"I as a teenager was incredibly hostile to both my father and his new wife. Then I grew up a bit. They left me and boyfriend alone with my baby sister for a long weekend. I was 17, she was about 8 months old. Visa stuff in South America. Years later, I left my first baby daughter with my father and step mother while in hospital having daughter #2. A more caring person you couldn't invent . We grew close over the years.\n And argued with each other about anything and everything. Hours on the phone. It was never acrimonious. Or personal. We agreed to disagree sometimes. Other times we changed our minds. I went to London to look after my baby sister following a road accident. I love her, she is my baby sister. Some people have tried to denigrate that. Notably, assessment people (even here in Switzerland): you grew up in family of three. .. now saying you have another, extra sister? I have a brother, a little sister and a baby sister. ",,,,,,,,O,S
"It always amazes me how many women (sadly it is usually women), get so offended by things like this when their new partner has something to do with their kids from a previous marriage. I've seen this with friends whose father's have remarried, and in one particular case, the step mum restricted the access of my friend to her own half-siblings, and in another, to my friend's own grandmother! If you cannot deal that your partner has a family already, has an ex, and through their kids they might have to see each other occasionally, do not date anybody with kids.",,,,,,,,O,A
"Who would want to be in on that dinner anyway? I wouldn't. Bf's ex-wife there, children that don't want me there. I'd happily stay home from that one. Husband needs to grow a pair though and not lie. Daughters don't like you. Get over it. You cannot force someone to either like or accept you. IF you had something to do with the breakup of the family in the first place, then, I'd say, you'll probably never be accepted. But it's not clear from the article (though it does hint at it). At the very end of the day however, it's the woman's birthday and she should have who she wants there. Snub or no snub.",,,,,,,,O,A
"Giving your father the ultimatum that he can come to things if he agrees to leave his wife behind is not a kind thing to do to him. Imagine how you would feel it your dad were to tell you that he never cared for your spouse, and from now on he doesn't want him along when he invites you over. Would you *really* leave your spouse behind in those circumstances? Your dad married this woman, he owes her the loyalty that that entails, and is absolutely right to refuse to have you treat her this way.",,,,,,,,O,A
"Thank God for this. I though I was the only one here able to see that a man who is divorced has every right to move on with a new partner, who shouldn't have to jump through hoops to be accepted in that role. Sheesh, if some of the people here treated their children's partners whom they don't like in the way that's been advocated here as something the OP shold expect and put up with....",,,,,,,,O,J
Your dad is showing that sort of loyalty a husband should to his wife. it is a shame he chose a not-very-nice person as his wife. But he would be a terrible husband if he let someone - anyone! - expect him to accept invitations that excluded his wife.,,,,,,,,O,J
"I honour my stepchildren's desire to see their dad without me in tow, graciously and gratefully. I know the stepmother scenario well. \nThe OP here hints at an ongoing campaign of troublemaking by the daughters, which is a different thing. I wish she had chosen a different scenario as her example, since the birthday bash one has become the focus, rather than the wider, ongoing problem.",,,,,,,,O,A
"For me, the mention of the Facebook photo is what made me think she was being a bit mischievous. I completely understand why she would want just her parents there. However, assuming that this is not the first time the OP has been excluded/not invited, she will have known that to then put it on FB would have been irksome. But then again, on the other hand, why shouldn't she be allowed to put a photo of her mother on? It sounds all very messy, and I don't think the OP is going to get the happy ending she seeks.",,,,,,,,O,J
"yes, I completely agree. The fault for his lying, and the feeling that he must lie about something as reasonable as going for his daughter's birthday meal, does not lie solely with him IMO",,,,,,,,O,J
"It's a can of worms and always will be in many families, apparently.In my family - everyone is divorced at least once - we have enough of it. In our opinion you don't invite anyone without his/her partner, it's an insult to both.Everyone is invited, including partners, married or not, and anyone who doesn't feel comfortable with it can stay home.",,,,,,,,O,J
"You're right, it's not healthy, but imagine this: Man has been invited to innocent lunch with daughter, family and ex-wife. Man knows new partner will kick off in a major way about perceived slights of not being invited/exes being in the same room/snub by daughter etc etc. Man also knows that new partner will issue unreasonable and immature ultimatum about event (it's me or them type thing) so, in misplaced hope of 'what she doesn't know about can't hurt her' keeps quiet so he can try and please all of the people (or, at the very least, displease as few as possible). Naive on his part, true, and not healthy, but his decision to lie about it speaks volumes about the OP too.",,,,,,,,O,J
"urely that depends on the nature of their divorce? They must have been comfortable enough in each other's presence, or grown-up enough to put any animosity aside for the sake of their child, otherwise she probably wouldn't have arranged to go for a meal with them in the first place!",,,,,,,,O,J
"Wow! I read 'middle-aged' and hardly expected her to be only 37. You really don't like his daughters much, do you? And if you didn't already know the ex and grandparents well, you can hardly blame her for not offering up her birthday celebration as a family 'bonding' session.",,,,,,,,O,J
"My parents divorced very amicably when I was 8 and it was absolutely fine until I was an adult and able to understand the full implications of divorce. I'd say it's got harder with age. I'm now in my 30s and think about it far more than I ever did as a child, so the fact that the daughter is 37 doesn't necessarily mean she should be over it and happy to socialise with you.",,,,,,,,O,R
I cannot see how the daughter is at fault here. She chose who she wanted at her birthday meal. The issue is the partner lying about it. And he clearly had cause to lie because of the reaction.\nYou don't have any right to be involved in the daughters life and you also have no right to say your partner cannot speak to or spend time with his ex. Regardless of the age of the daughter they are both still parents and are clearly acting as such.,,,,,,,,O,J
"Perceptions change with time, although technically 37 is middle aged, I don't think most people now consider 37 year olds as 'middle aged'. With people living longer they're putting off the life changing events (like having children etc) to a later age. Being 'middle aged' is more about a state of mind than your actual age, thus the 'mid life crisis'",,,,,,,,O,J
"Abandoning your kids who you've known for 37 yearsWhat an exaggeration. Don't become a counselor.Choosing not to go to one party that by being there can create months of inter family upset is not abandoning someone. What is so significant about a 37 year birthday party that you could not take your daughter to diner, lunch or something else another day, the two of you together. Or are you concerned you might miss out on some jelly and ice cream?",,,,,,,,O,J
"This could have been me writing this 20 years ago. But I was wrong and so is the OP. The daughter wanted her mother there, which is reasonable, and the mother probably wouldn't have been comfortable around the new partner (which is also reasonable), so the daughter invites her mother. Perfectly reasonable. The inference from the OP is that the grown-up daughter wants mummy and daddy back together again, which is laughable, and shows the depths of the OP's insecurities. I think the father is also trying to keep everyone he loves as happy as he can, and that is also reasonable. 20 years ago, I wanted to assert my place in my man's life (I was also much younger than my partner), and it caused nothing but heartache, for everyone. In trying to keep everyone included, my partner ended up lying to me too, which he hated, but it was the lesser of many evils as, to be honest, I was immature and jealous of his previous life. As I came to realise, and is my advice to the OP, it's not all about you. Other people matter too, and ex-families that have decades of history also need to be nurtured.",,,,,,,,O,J
"As for her putting a picture of her mother on her Facebook page, I mean, come on, why wouldn't she?\n\nI don't think that's the issue - it's just that the picture proved the partner had been lying about who was present. The partner shouldn't have lied, it's as simple as that.",,,,,,,,O,J
nI don't take offense at the behaviour of the daughter. But it is pretty bad behaviour of her partner to lie.,,,,,,,,O,J
"As the daughter of divorced parents, i understand how incredibly difficult it is to make both your parents happy and having to deal with the breakdown of their relationship without it damaging your relationship with each parent. I would suggest this lady tries to put herself in her partners daughters shoes and try and see it all from her point of view, its one night a year and a small sacrifice for the greater good.",,,,,,,,O,A
"What about the pain that the daughter causes her father by excluding his life-partner? He is stuck in the middle. Throughout this the root cause is often the first wife's refusal to grant her children permission to accept the newcomer. The child is also stuck in the middle. The first wife uses her power over the children as a weapon against her ex-husband, and the new wife feels the brunt of it.",,,,,,,,O,J
"Boyfreinds and Girlfreinds can upset the inner-circle vibe for the most part and if you werea little lesscontrolling you would understand that. Perhaps then, he wouldn't have to lie to you about it.\nGive him a break, he's done nothing wrong. He's just avoiding a confrontation with you.",,,,,,,,O,A
"It is her own birthday, the daughter is entitled to invite whomever she pleases.\""\nPeople keep saying this, but this isn't the way the social world works. If a couple are in a long-term relationship, you invite them both to events of this sort or risk losing their friendship. Nobody I know thinks to themselves \""I really don't like Mary's husband, so, *because it's my birthday*, I nave the right to invite her but not him to dinner.",,,,,,,,O,J
"If my children wouldn't accept my second wife I would tell them that is like not accepting me, so good bye.\n\nWow. You accuse the guy of being spineless and then come over as completely heartless.",,,,,,,,O,J
" My parents got together at 19 and stayed together until my father's death a few years ago, so I don't have a personal issue with divorce. I do have a long interest in people. And it fascinates me the entitlement issues divorced children especially have about their parents. If the OPs partner were not the father but simply a friend, then excluding his partner would be an absolute social faux pas. His partner is entitled to consideration. But because the stepchild has daddy issues, the OP is being treated poorly. And partner is playing right into them. It's a fascinating dynamic - no one grows up and becomes independent and have to deal with each other as people rather than roles. And poor OP, who I do feel sorry for, has to sit there and try not to take it personally. Stop shrieking at the screen and seriously, grow up. Throwing insults at strangers makes you seem a little childish.",,,,,,,,O,A
"As long as his daughters judge there to be residual acrimony between the adults in their lives they will continue to exploit those divides for their gain\n\nWithout considerably more information about the circumstances around the marriage and its breakdown it isn't fair to make an accusation like that. It is entirely possible that the daughters are trying to protect their mother from an emotionally painful situation.\n\nIt is ridiculous that a group of adults are striving so hard to continue the myth of the nuclear family\n\nThe girls are grown ups and are under no obligation to accept this woman into their lives. Their parents will always be their parents and that is the salient fact in this situation, and as I've already pointed out, it would be unfair to automatically assume that they are being unreasonable. It is unreasonable, however, for someone on the periphery of a family breakdown to expect its casualties to simply put their emotions to one side and behave with rational detachment.",,,,,,,,O,J
"As long as his daughters judge there to be residual acrimony between the adults in their lives they will continue to exploit those divides for their gain\n\nWithout considerably more information about the circumstances around the marriage and its breakdown it isn't fair to make an accusation like that. It is entirely possible that the daughters are trying to protect their mother from an emotionally painful situation.\n\nIt is ridiculous that a group of adults are striving so hard to continue the myth of the nuclear family\n\nThe girls are grown ups and are under no obligation to accept this woman into their lives. Their parents will always be their parents and that is the salient fact in this situation, and as I've already pointed out, it would be unfair to automatically assume that they are being unreasonable. It is unreasonable, however, for someone on the periphery of a family breakdown to expect its casualties to simply put their emotions to one side and behave with rational detachment.",,,,,,,,O,J
"I was once talking to a very reknowned therapist, she told me that she (and her husband) at times invite all their grown children over without their families and partners. Because it creates a certain dynamic and intimacy that is not there when they do bring them along. I really cannot see anything wrong with that. My husband occasionally goes to dinner/ lunch with his mother (and siblings) alone as well. I never saw any harm (or disrespect) in that either. It's not about \""staking a claim\"" or anything, it's about people who have a connection who want to be in touch.",,,,,,,,O,J
"I'll try to explain.Short explanation: It's about family circles. They, like me, like most, have not only one of them.\nLong explanation:Our vision is different than the \""standard\"". It depends of what you consider as \""your family\"".\nMy kids have two families or, let's say two family circles. They are part of my ex-family and part of my new family. Maybe you can regard it, from their point of view, as a big family with two dimensions.Members of the circle of my ex-family are my kids, ex-wife, people of my ex-wife's family, people of my family, old friends, ex-friends, etc. I am not part of that circle anymore. That is the past.\nIn my new family's circle belong my kids from my first marriage again, my daugther (their half-sister), my wife, people from my family, people from my wife's family, old friends, new friends; but, not people from my ex-wife's family. That is the present.\nI think that this concept sounds unconventional for many but, actually, is logical for me. I live in another country now and, have absolutely no contact to my ex-wife and my ex-wife's family. They are not my family.\nMy oldest kid, who lives in the same city ten minutes drive from me, is building a third family circle. He is living together with his partner and, my wife and me don't know very much about her family yet. He has more contact to them and they are starting to be part of his family circle, but they are not part of our family circle yet. If that continues to develop they will be probably part of my family too one day. But, for example, they will probably never be part of my wife's family circle because most of them live in the Caribbean. Who knows? Maybe one day they will make holidays over there, meet each other, have some time together and become part of their \""family circles\"" too. Is that the future?\nFamilies are not just \""This is it!\"".Families develop, change, grow and diminisch, arise and disappear.As time pass by, the question is, Who is your family?\n\""I hope you understand my point of view now\""\nIn the case of the article, the man is putting all together in one pot (one family circle) and stirring it nicely. No wonder he has a conflict. At least, he is not going to be bored.",,,,,,,,O,S
"In the first case \""Lady friend\""/very special friend, unless he is a \""Muscle Mary\"". Partner is a word that has been hi-jacked from what was formerly a description of a business relationship and remains so in the US and much of the world, and is often applied to conceal a deviant sexual relationship. But if these soppy people wish to use the vague term partner to explain their relationships what ho what ho.",,,,,,,,O,J
"I learnt that these things take time. For two years, my partner's child (who stayed with us two nights a week) refused to speak to me: he would walk in and say to his father (while I was cooking) \""what's for dinner?\"" I was enraged. But eventually, I decided to stop fighting it, and one day he walked in and asked ME what was for dinner and things had, somehow, changed. So, take your time. But, above all, make it possible for your partner to tell you the truth. If he's too frightened to tell you the truth because of how you'll react, you're pretty well doomed.",,,,,,,,O,A
"There is so much here, that it is time for the O.P. to back off.\n--Meals in a restaurant are paid by someone, possibly the birthday girl or her partner. So adding in girlfriends, boyfriends, and friends can be way too expensive. --I don't believe you get family to like you by trying to force your way into a family birthday meal at a restaurant. --I have to ask if you have considered that your partner/boyfriend may be seeing other women that you are not aware of, so it makes it easier on the actual family to not have you at family gatherings or have much to do with you?",,,,,,,,O,J
"Marriage isn't the first time a partner appears on the scene. From day one we accepted one anothers partners, even though my exhusbands partner was my friend until their affair while I was still married. My kids accepted her too. \nI accepted my dads now wife even though he moved her into the family home the day mum moved out. They had been having an affair. \nWhether divorce is bitter and acrimonious was something no one wanted so we worked hard to get along and move on.",,,,,,,,O,R
"My daughter in turn accepted mine and my ex's partner. Even though until their affair she had been my friend. \nWhether or not, divorce leads to family tension and further disruption was a choice we consciously made a decision about. \nIt was at first very hard and painful, but it now means we all have working relationships. It is good for everyone because there are no undercurrents and difficult decisions when issuing invites. \nIt is not an easy thing to do but it is healthier than avoidance and not moving on. After 4 years, at the age of 37 to be behaving this way is silly. Mum also needs to confront reality. \nMy ex had a affair with my best friend and they then lived together. That was reality and me avoiding that was not going to help my kids or me. So from day 1, we all worked towards a working relationship that would provide security and a comfortable environment for the whole family. \nMy parents had done the same for us. It made my parents divorce easier on us.",,,,,,,,O,R
"nIf the daughter is 37 chances are she had her own life and doesn't really know you if you've been on the scene for less than four years wanting only close family at her birthday is not unreasonable. It doesn't sound from the way you put it that she specifically banned you, just banned everyone who wasn't her parents or partner (not that unreasonable). You leave out a lot of information though does the ex wife have a partner who was excluded as well? (which would probably prove my point). How long have you been with your partner? (if its not long she may feel you are just passing through) or were you the cause of the divorce (in which case why would someone want the cause of her parents marriage breakdown at her birthday?) Whatever the case the headline employs she had a big party and explicitly said you couldn't come when what she did was choose an intimate meal with the people she's closest too a very different thing.",,,,,,,,O,J
"I don't see why the partner should be obliged to try to shoehorn the OP into the family he has moved on from. So yes, I would say the OP is in the second rank, if anywhere at all, whenever her partner deals with his family, ex included.\nI wouldn't consider it being put \""behind\"" an ex-partner. I would lump it under \""render unto caesar what is caesar's\"". And I have never had a problem accepting that a partner preferred to see their ex without me. Why would I? I respected the privacy of their relationship with the other person and I trusted them.",,,,,,,,O,J
"Ah, the Windmill pies were fabulous. I've only eaten at the Guinea a couple of times, and two decades apart, but I'm glad it still sets the standard for seared flesh. It really is the most fabulous place. The restaurant itself should be preserved in aspic.",,,,,,,,O,S
"Blimey, that brings back memories of food fights and wild debauchery at our Christmas parties at the Guinea Grill when I was a secretary in Mayfair twenty odd years ago.... Looks like it hasn't changed a bit.",,,,,,,,O,J
"While they aren't giving anything away, still, the prices are in line with the competition.Let the carnivores rejoice!His thoughts were red thoughts and his teeth were white. His enemies called for peace, but he brought them death.",,,,,,,,O,J
"It seems you have completely missed the point Jay was making.\nThis phrase is immediately preceded by \""He has the kind of personality that transmits itself through social media.\"" The point is that he felt that they surely must have \""met in person\"", and then realised that they had not.\nWe live in an age when it is indeed possible to meet other than \""in person\"". The \""actually\"" and the \""in person\"" are stressing the changing meaning of \""to meet\"" in the age of social media.",,,,,,,,O,R
"Sorry, I shouldn't comment when I'm in such an appalling mood.",,,,,,,,O,S
"I don't need to go on that, or any other cruise, to know that I would hate every moment of it.",,,,,,,,O,S
"QM2 left Southampton 1700hrs today for Hamburg, arriving 0900hrs local Friday 27 May to dry dock, with new cabins and general refit. \nhttp://www.citycams.",,,,,,,,O,R
"It's also a main cause of tooth rot. I just had an extraction and the first question asked was, \""do you drink alcohol or smoke?\"" They looked perplexed when I said no. I blame honey sandwiches. Paddington bear gas a lot to answer for.",,,,,,,,O,J
"nFirstly, you make an incorrect inference about my name. Secondly, much like the perpetually drunk, the perpetually pontificating sober are a complete borefest",,,,,,,,O,J
"It helps to project your issues onto others, I understand and sympathise. Those Billie goats must be really stressing you out. Life sounds so hard for you, you poor little troll.",,,,,,,,O,S
"We werent discussing alcoholism at all. You state your opinions as if they are facts and have decided that anyone that likes a drink is an alcoholic. Who elected you as judge?I sense that your angry, prohibitive persona has been fashioned by events in your life that have caused this monster; \""the\"" problem, as you describe it. Did you suffer at the hands of an alcoholic partner? Perhaps it's a little more personal than that?\nYou seem quite stressed. As I mentioned, alcohol IN MODERATION relieves stress, which is a major factor in illness of all kinds. Even if the stress relieving effect is a placebo, it is still an effect. \nYou have made a decision in your life because of your own personal circumstances and good for you. So have I. I wonder which of us is happier.",,,,,,,,O,A
"The Vikings had been resident in the peninsula which was later termed 'Normandy' from 800 A.D.. The initial settlement would have been almost 100% male, as was the pattern elsewhere. Only when the perimeters were secured, would the Vikings have brought their women and children to settle. Most warriors would have taken French women as partners, concubines and slaves. In 911 A.D. Rollo, aka Rolf the Ganger, was granted the territory of Normandy by the French King Charles the Simple, on condition that he serve as a vassal of the King and defend the coastline against further Norse settlement. So by 1066 A.D., the Normans had been resident in Northern France for 266 years, and their leadership had held vassal Duke status (Dux Bellorum) from 911 A.D., inn effect for 155 years.It is difficult to comprehend therefore how you can assert that 'half of the Normans' were Vikings. They may have been descended from Vikings on the male line, but they were well and truly Frenchified on the maternal side! Claiming they were not French is like saying that a person of African descent, whose ancestors settled in London 266 years ago, is not British. The process is the same in every country. You cna't have your cake and eat it. Foreigners who settle in Britain are quickly accepted as British. The equivalent is true for foreigners who settle in any other country, especially when they have been 'resident' there for 266 years! Go to the tomb of William the Conqueror. Read displays of The Bayeux Tapestry. The French know exactly who William was. Only the delusional English think he was one of 'our boys', which makes the local French laugh heartily!",,,,,,,,O,J
"Respirating is also a way of propelling oneself towards inevitable death (although not breathing will hasten the process considerably). I suppose it's worth considering that there are plenty of higher states that can be accessed without taking anything if you exercise willpower, but alcohol is a powerful recreational psychoactive drug that happens to be legal. No doubt cannabis and MDMA give you more bang for your buck with less severe side effects, but safely sourcing good quality gear can be a problem. You can grow your own marijuana easily enough. If you live in the country or are wealthy enough to have a big garden you could also grow poppies and produce your own opium. However, with alcohol, you can walk into any pub and enjoy a well crafted pint, dram etc. with such ease you'd be crazy not to.",,,,,,,,O,A
"Well, that's just it isn't it? If I was going to be a physicist or something useful, I would have already achieved that by now. Is there any use having the ability to cogitate abstruse topics if it serves no purpose other than reminding you of the ultimate meaningless of existence? Might as well turn to a hobby, and drinking is just as good a hobby as anything else.",,,,,,,,O,A
"This research has long been questioned as it fails to correct for the changing profile of drinking over time.\nThat is, someone who drank to excess for thirty years and quits when told they have months to live becomes a non drinker.\n\""The belief that a glass of wine every now and then will help you live longer appears to be no more than a myth, according to a new study. University of Victoria researchers conducted a meta-analysis to investigate the claim that moderate drinkers (people who have up to two drinks per day) have reduced mortality risk, and found that many of them were flawed. A large part of the problem was how \""abstainers\"" have been defined in these studies.",,,,,,,,F,
"Only if you are doing both.\nAround 1700 people die on the roads each year, 8700 die from alcohol.",,,,,,,,F,
"adly doctors can be some of the worst drinkers. The cancer links were poorly addressed and obviously far more serious than silly hangover experiments - and the related effects of chronic inflammation were ignored in favour of this one-night-only 'study'. The prog did seem to want to avoid alienating drinkers (audience) - which is in part why we have such denial about alcohol's dangers. I gave up drinking and feel so much better, yet I don't feel I can broach the subject with my worryingly alcoholic friends; even whilst we are watching one friend dying of alcohol-related breast and now bone cancer.",,,,,,,,O,J
"It put some science behind 'myths' so for instance people may guess that a good meal helps, or that drinking water helps, or that a fry up helps, or sleep is disturbed, but all of the above could have been psychological rather than real, but the show did show them as real.\nIn that respect it was useful. It debunked the red wine is particularly good for you myth as well.",,,,,,,,O,J
"But now \""moderate\"" means 14 units a week. That's less than 7 pints of beer or 1.5 bottles of wine. A large chunk of the population isn't even going to try. 28 units a week, even 21, was maybe something to aspire to.",,,,,,,,O,J
"I probably drink way too much - but mostly at home and I never, ever drive drunk. My wife also like a drop or two and sometimes insists we have some nights off. The problem is we always find the nights off to seem much more boring than the nights on :(",,,,,,,,O,S
TV loves these waste of time programmes!\nNext week BBC announces shock horror.......cigarette smoking causes cancer!,,,,,,,,O,J
"Well I'm not giving it up, I won't go back to being a crap dancer",,,,,,,,O,S
People still drink... Even to socialise? That's amazing thought it had died out already.,,,,,,,,O,J
"There is a range in between the two. Why do all comments involving alcohol on the Guardian always descend into this idiotic dichotomy where it's either death from liver disease at 35 or a boring life to 120.It really is possible to drink moderate amounts, thousands of people do it all their lives.",,,,,,,,O,R
Premature death by alcohol being far more preferable.,,,,,,,,O,J
"I seem to recall that the Soviet Union (and the whole of the Eastern bloc) had astonishing problems with alcohol\n\nYou recall wrong. Russia, Ukraine, Belarus etc. have terrible problems with alcohol abuse which the USSR didn't have.\nHaving said which, alcoholism and alcohol consumption in general have been falling in this country for decades so if neo-liberalism is a factor, it's a positive one (possibly due to the way it reduces our disposable income).",,,,,,,,F,
Our dog-eat-dog neoliberal culture'\nThat's a crap name for a dog.,,,,,,,,O,J
"When I lived in a small town on France, there was a road where the sculptor Arisitide Maillol used to live called Rue Aristide Maillol. I always thought that was brilliant - imagine getting into a taxi so drunk that you can't remember you live but you can just about remember your name.",,,,,,,,F,
"Its nothing new, people have been boffing booze and other drugs since time immemorial. There are theories out there that early man only stopped being nomadic because staying put and cultivating crops granted them the ability to brew ale.",,,,,,,,F,
"I see people staggering in piss-stained jeans, people with dried blood on their t-shirts, people puking down lamp posts, people in handcuffs, people bellowing and throwing bottles down a quiet residential street at three a.m. and wonder. Is that what 'having fun' looks like in the twenty-first century?",,,,,,,,O,J
No need to stay up late. You'll see most of this and more in Leeds before it even gets dark. There's a mobile A&E unit on the main shopping street at weekends \u2013 that's a good place to see the show. I once saw a woman having a fight with three policemen outside Debenhams and the shop was still open.,,,,,,,,O,R
The alcohol lobby has more too much sway for that to have happened and osborne loves both his drink and its duty.,,,,,,,,O,J
Alcohol is rubbish. If you can't have fun without it then you have a problem.,,,,,,,,O,J
"Yes, let's all live to the age of 112 and die of boredom in a care home where only one of the staff actually speaks English, and your fellow patients' brains have all been fried by daytime TV.",,,,,,,,O,J
"I spent the first five minutes of The Catch entranced by Mireille Enos, and gleeful because she's so very watchable and, excepting World War Z, I've not seen her on TV since Big Love. Then it all began to unravel. Either she was acting over a bad dose of flu, or she'd been told to channel Meredith Grey, all husky little girl voice and mannerisms. Then her character made a string of highly unconvincing and spectacularly bad decisions in an attempt to preserve a glossy veneer of control - yes, it's Olivia Pope. Tottering further into her broken-into apartment on high heels - rather than taking them off or calling for help - was the final straw. That I can't remember her character name is not a good sign. I fear Shondaland is becoming a victim of its own success, as everything starts to feel recycled. I'll try one more episode though, because - Mireille Enos!",,,,,,,,O,J
